D01E01J D01E02J D01E03J D01E04J D01E05J D01E06J D01E07J D01E08J D01E09J D01E10J D04E01J D04E02J D04E03J D04E04J D04E05J D04E06J D04E07J D04E08J D04E09J D04E10J D07E01J D07E02J D07E03J D07E04J D07E05J D07E06J D07E07J D07E08J D07E09J D07E10J D14E01J D14E02J D14E03J D14E04J D14E05J D14E06J D14E07J D14E08J D14E09J D14E10J D21E01J D21E02J D21E03J D21E04J D21E05J D21E06J D21E07J D21E08J D21E09J D21E10J D28E01J D28E02J D28E03J D28E04J D28E05J D28E06J D28E07J D28E08J D28E09J D28E10J D35E01J D35E02J D35E03J D35E04J D35E05J D35E06J D35E07J D35E08J D35E09J D35E10J D42E01J D42E02J D42E03J D42E04J D42E05J D42E06J D42E07J D42E08J D42E09J D42E10J
D14E10J 0.98 0.87 0.91 0.87 1 0.99 0.89 0.99 1 0.97 0.81 1 0.93 0.24 0.07 -0.77 0.87 0.94 0.85 0.46 -0.32 -0.05 0.68 0.81 0.76 0.47 1 0.61 0.9 -0.47 -0.19 0.76 0.81 0.72 -0.82 0.54 -0.09 1 0.28 0 -0.33 0.22 -0.79 0.62 0.28 0.74 1 -0.49 0.85 -0.16 0.87 0.96 0.88 -0.48 -0.07 0.92 0 0.56 0.06 0.87 0.44 -0.67 -0.92 0.99 -0.37 0.41 -0.09 -0.62 0.49 -0.15 -0.1 -0.44 -0.73 0.99 0.91 0.82 -0.17 -0.2 -0.25 -0.85
D21E01J 0.66 0.46 0.51 0.46 0.87 0.73 0.7 0.78 0.85 0.61 -1 -0.99 -0.99 -1 -1 -0.97 -1 -1 -0.84 -1 -1 -0.87 -0.99 -1 -0.99 -0.99 -0.76 -0.97 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.33 0 -1 -1 -1 -1 -0.99 -0.97 0.93 -1 -1 -0.97 -1 -1 -1 -1 -1 -0.39 -1 -1 -0.99 -1 -1 -1 0.28 -1 -1 -1 -1 -0.99 -1 -1 -0.9 -1 -1 -1 -1 -1 -0.99 -1 -1
D21E02J 0.69 0.47 0.54 0.47 0.88 0.76 0.72 0.81 0.87 0.63 -1 -1 -0.92 -1 -1 -0.99 -1 -0.98 -0.96 -0.98 -0.96 -0.82 -1 -1 -0.99 -0.99 -0.96 -0.99 -1 -1 -1 -0.99 -0.99 -1 -1 -1 -1 -1 -1 0.22 -1 0 -1 -0.99 -1 -0.78 -0.33 0.88 -1 -1 -1 -1 -1 -1 -1 -1 0.34 -1 -1 -0.94 -1 -0.98 -1 0.89 -1 -1 -1 -1 -0.98 -1 -1 -0.32 -1 -1 -1 -0.99 -1 -0.57 -1 -1
D21E03J 0.8 0.59 0.65 0.59 0.72 0.86 0.82 0.9 0.94 0.75 -1 -0.53 -0.95 -1 -1 -0.98 -0.75 -1 -1 -0.95 -1 -0.95 -1 -1 -1 -1 -0.28 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.99 -0.97 -1 -0.79 -1 -1 0 -0.99 -1 -0.98 -0.77 -0.86 -0.97 -0.99 -0.85 -0.99 -0.98 -1 -0.97 -0.53 -0.9 -0.54 -1 -1 -0.87 -0.97 -0.89 0.87 -1 -1 -1 -0.36 -0.98 -1 -1 -0.99 -0.9 -0.92 -0.96 -0.99 -1 -0.99 -1 -1
D21E04J 0.95 0.82 0.87 0.82 1 0.98 0.97 0.99 1 0.93 -0.03 0.97 -0.79 -0.72 -0.98 0.9 0.85 0.1 -0.39 -0.12 -0.89 -0.82 -0.99 -0.8 0.12 -0.49 0.88 -0.95 -0.66 -0.97 -1 -0.21 -0.97 -0.99 -0.73 -0.59 -0.89 -0.11 -0.9 0.62 -1 -0.99 -0.99 0 -1 0.87 1 1 0.47 -0.97 -0.82 -0.46 -0.95 -0.97 -0.55 -0.31 0.62 -0.12 -0.99 0.52 -0.41 -0.1 -0.54 0.98 -1 -0.99 -0.94 -0.16 -0.82 -0.97 -0.95 0.88 -0.9 0.13 0.74 -0.93 -0.98 -0.99 -0.51 -0.96
D21E05J 0.81 0.61 0.68 0.61 0.96 0.87 0.85 0.91 0.95 0.77 -1 -0.82 -0.99 -1 -1 -0.99 -1 -0.97 -0.98 -1 -0.96 -0.91 -0.97 -1 -1 -0.89 -0.87 -0.86 -0.79 -1 -1 -0.96 -0.89 -1 -1 -1 -1 -0.99 -1 0.28 -1 -1 -1 -1 0 -0.98 -0.04 0.49 -0.99 -1 -0.73 -1 -0.98 -1 -1 -1 -0.22 -1 -1 -1 -1 -1 -1 0.78 -1 -1 -1 -1 -1 -1 -1 -0.86 -1 -0.96 -0.97 -1 -1 -1 -1 -1
D21E06J 0.97 0.87 0.92 0.87 1 0.99 0.98 1 1 0.96 0.21 0.73 -0.74 -0.28 -0.29 0.31 0.8 -0.03 -0.34 -0.44 -0.98 -0.18 0.77 0.06 -0.63 0.6 0.86 0.13 0.59 -0.09 -0.99 0.33 0.14 0.22 -0.6 -0.94 0.12 -0.46 -0.38 0.74 -0.99 -0.78 -0.98 0.87 -0.98 0 1 0.98 0.92 -0.68 0.93 -0.69 0.47 -0.16 0.26 0.25 0.24 -0.07 -0.97 -0.25 -0.95 -0.69 -0.62 0.9 -0.37 -0.37 -0.99 0.38 -0.51 -0.99 -0.96 -0.93 0.52 -0.33 0.98 0.02 -0.75 -0.99 -0.41 0.11
D21E07J 0.95 0.81 0.86 0.81 0.97 0.98 0.96 0.9 0.96 0.93 0.71 1 0.9 0.2 0.7 0.68 0.69 0.44 0.87 0.2 0.73 0.9 0.88 0.08 0.4 0.47 0.99 0.68 0.84 0.44 -0.03 0.97 0.35 -0.45 0.56 0.61 -0.59 0.24 0.95 1 -0.97 -0.33 -0.77 1 -0.04 1 0 0.99 -0.16 0.41 -0.13 0.99 0.77 0.09 0.64 0.15 0.99 0.79 0.61 0.79 0.14 0.05 0.8 0.97 0.86 0.3 0.62 0.46 0.38 -0.37 -0.3 1 0.32 -0.62 0.99 0.3 -0.97 -0.39 -0.12 0.6
D21E08J 0.94 0.79 0.86 0.79 0.99 0.97 0.96 0.99 0.99 0.92 1 0.94 0.83 0.65 0.61 -0.17 -0.31 0.8 0.81 0.59 0.71 0.09 0.83 1 0.7 -0.07 1 0.4 0.87 0.83 0.88 0.73 0.53 0.67 -0.33 0.93 0.49 1 0.95 -0.49 0.93 0.88 -0.86 1 0.49 0.98 0.99 0 0.59 1 0.55 0.99 0.95 0.64 0.94 1 -0.17 0.91 0.49 0.93 0.49 0.85 0.98 -0.34 0.93 -0.27 0.95 0.84 0.81 0.5 0.97 0.94 0.96 0.81 -0.02 0.88 0.49 0.81 0.71 0.28
D21E09J 0.94 0.78 0.84 0.78 1 0.96 0.96 0.98 0.99 0.91 -0.9 0.31 0.69 -0.63 -0.79 -0.94 -0.11 -0.79 0.59 -0.82 -0.9 -0.56 -0.41 -0.96 -0.93 -0.98 0.39 -0.84 -0.92 -0.79 -1 -0.74 -0.84 -0.49 -0.91 -0.94 -0.85 -0.87 -0.95 0.85 -1 -1 -0.97 0.47 -0.99 0.92 -0.16 0.59 0 -0.78 -0.82 -0.5 -0.99 -0.98 -0.94 0.2 -0.43 0.91 -1 -0.46 -0.99 -0.92 -0.98 0.87 -0.94 -0.98 -1 -0.99 -1 -0.96 -0.89 -0.81 -0.97 -0.33 -0.74 -0.82 -0.99 -0.31 -0.46 -1
D21E10J 0.9 0.72 0.78 0.72 0.99 0.94 0.92 0.96 0.98 0.87 -1 0.62 -1 -1 -1 -0.27 -0.83 -0.77 -0.83 -0.99 -0.98 -0.99 -0.93 -1 -0.97 -0.87 -0.45 -1 -0.86 -1 -1 -0.81 -0.75 -0.98 -0.99 -1 -1 -1 -1 -0.16 -1 -1 -0.99 -0.97 -1 -0.68 0.41 1 -0.78 0 -0.82 -1 -0.97 -1 -1 -0.94 -0.76 -0.98 -1 -0.83 -1 -0.97 -1 0.95 -1 -1 -1 -0.98 -1 -1 -1 -0.73 -1 -0.99 -0.95 -1 -1 -1 -1 -1
D28E01J 0.66 0.46 0.52 0.46 0.88 0.74 0.7 0.8 0.85 0.63 0.3 0.46 0.45 -0.99 -1 -0.96 -0.76 -0.96 -0.95 -0.66 -0.68 -0.99 -1 -1 -0.61 -0.99 -0.89 -1 -1 -1 -1 -0.97 -1 -0.99 -0.99 -0.99 -1 -0.03 -0.47 0.87 -0.97 -1 -0.85 -0.82 -0.73 0.93 -0.13 0.55 -0.82 -0.82 0 -0.93 -0.98 -1 -0.99 -0.97 -0.28 -0.88 -0.99 0.95 -1 -0.99 -1 0.57 -1 -1 0.41 -1 -0.27 -0.69 -1 0.09 -1 -0.82 -1 -1 -0.99 -0.37 -0.6 -1
D28E02J 0.91 0.75 0.81 0.75 0.92 0.95 0.93 0.97 0.99 0.89 -0.45 0.32 -0.95 -0.98 -0.99 0.04 -0.95 -0.67 -0.53 -0.93 -0.58 -0.39 -1 -0.97 -0.93 -0.32 -0.6 -0.16 -0.91 -0.98 -1 -0.85 -0.87 -0.74 -1 -0.98 -0.93 -0.73 -0.91 0.96 -1 -1 -0.99 -0.46 -1 -0.69 0.99 0.99 -0.5 -1 -0.93 0 -1 -1 -1 -0.99 -0.32 -0.79 -0.96 -0.99 -1 -1 -1 0.99 -1 -0.96 -1 -1 -1 -0.82 -1 -0.48 -1 -0.88 -0.88 -0.93 -1 -0.58 -0.98 -1
D28E03J 0.77 0.56 0.63 0.56 0.93 0.84 0.8 0.88 0.93 0.73 -0.81 0.25 -0.26 -0.97 -1 -1 -1 -0.96 -0.9 -0.9 -0.69 -0.93 -1 -1 -0.83 -0.98 -0.67 -1 -0.99 -1 -1 -0.98 -0.98 -1 -1 -1 -0.95 -0.7 -0.99 0.88 -1 -1 -0.98 -0.95 -0.98 0.47 0.77 0.95 -0.99 -0.97 -0.98 -1 0 -1 -1 -1 -0.85 -1 -1 -1 -1 -0.99 -1 0.26 -1 -1 -0.95 -1 -0.97 -0.99 -1 -0.63 -1 -0.97 -0.93 -1 -1 -0.14 -0.99 -1
D28E04J 0.75 0.54 0.61 0.54 0.63 0.82 0.78 0.86 0.91 0.7 -0.59 0.01 -0.51 -0.99 -1 -1 -0.19 -0.7 -0.9 -0.76 -0.72 -0.9 -1 -1 -0.86 -1 -0.42 -1 -1 -1 -1 -0.99 -1 -1 -1 -0.99 -1 -0.7 -1 -0.48 -1 -1 -1 -0.97 -1 -0.16 0.09 0.64 -0.98 -1 -1 -1 -1 0 -1 -1 -0.73 -1 -1 -0.73 -1 -1 -1 0.38 -1 -1 -1 -1 -1 -0.99 -1 -0.8 -1 -1 -1 -1 -1 -0.67 -1 -1
D28E05J 0.81 0.6 0.67 0.6 0.96 0.86 0.84 0.9 0.95 0.77 -0.91 0.21 0.46 -0.94 -1 -0.81 -0.99 -0.8 -0.62 -0.79 -0.46 -0.9 -0.99 -0.98 -0.4 -0.98 -0.25 -0.81 -0.82 -1 -1 -0.96 -0.85 -0.99 -1 -0.98 -1 -0.35 -1 -0.07 -1 -1 -0.97 -0.55 -1 0.26 0.64 0.94 -0.94 -1 -0.99 -1 -1 -1 0 -1 -0.37 -1 -1 -0.99 -1 -1 -1 0.45 -1 -1 -0.98 -1 -1 -1 -1 0.04 -1 -0.99 -1 -1 -1 -1 -1 -1
D28E06J 0.75 0.54 0.6 0.54 0.93 0.82 0.79 0.87 0.92 0.71 -0.7 -0.17 0.45 -1 -1 -0.76 -0.83 -0.53 -0.28 -0.94 -0.56 0.51 -1 -1 -0.32 -0.54 -0.69 -0.2 -0.9 -1 -1 -0.42 -0.97 -0.97 -1 -0.98 -1 -0.8 -1 0.92 -1 -1 -0.53 -0.31 -1 0.25 0.15 1 0.2 -0.94 -0.97 -0.99 -1 -1 -1 0 0.86 -1 -1 -1 -1 -0.83 -1 0.7 -1 -1 -1 -1 -0.58 -1 -1 0.77 -1 -0.97 -0.07 -1 -1 -0.99 -0.99 -1
D28E07J 0.94 0.79 0.85 0.79 1 0.97 0.96 0.98 0.99 0.92 0.84 0.96 0.91 0.37 0.09 0.4 0.87 0.24 -0.36 -0.49 0.15 -0.98 0.48 0.86 0.15 -0.95 0.93 -0.99 0.03 -0.58 -0.94 0.05 -0.01 0.28 -0.35 -0.07 0.21 0.85 0.04 0 -0.39 0.34 -0.9 0.62 -0.22 0.24 0.99 -0.17 -0.43 -0.76 -0.28 -0.32 -0.85 -0.73 -0.37 0.86 0 0.39 -0.26 0.41 -0.9 0.14 -0.83 0.47 -0.91 -0.08 0.81 -0.73 -0.71 0.48 -0.84 -0.93 -0.85 0.19 0.76 0.34 -0.68 0.5 0.24 0.1
D28E08J 0.84 0.64 0.69 0.64 0.96 0.89 0.87 0.93 0.96 0.8 -0.68 -0.78 -0.72 -0.99 -0.99 -0.79 -0.41 -0.73 -0.93 -0.78 -0.91 0.04 -0.84 -1 -0.84 0.04 -0.38 -0.96 -0.71 -0.99 -1 -0.92 -0.4 -0.99 -0.83 -0.96 -0.96 -0.88 -0.73 0.56 -1 -1 -0.54 -0.12 -1 -0.07 0.79 0.91 0.91 -0.98 -0.88 -0.79 -1 -1 -1 -1 0.39 0 -1 -1 -1 -0.98 -1 0.99 -1 -1 -0.89 -1 -0.77 -0.97 -1 -0.73 -1 -0.91 -0.83 -0.94 -0.98 -0.85 -1 -0.95
D28E09J 0.81 0.59 0.66 0.59 0.95 0.86 0.83 0.91 0.95 0.76 -0.91 -0.9 -0.97 -1 -1 -0.98 -0.98 -0.71 -1 -0.99 -0.99 -0.68 -0.94 -1 -1 -0.98 -0.91 -0.9 -0.99 -1 -1 -0.89 -0.99 -1 -1 -1 -1 -0.99 -1 0.06 -1 -1 -1 -0.99 -1 -0.97 0.61 0.49 -1 -1 -0.99 -0.96 -1 -1 -1 -1 -0.26 -1 0 -0.96 -1 -1 -1 -0.46 -1 -1 -1 -1 -1 -1 -1 -0.33 -1 -0.43 -1 -1 -1 -0.99 -1 -1
D28E10J 0.79 0.58 0.64 0.58 0.28 0.85 0.83 0.89 0.94 0.74 -0.95 -0.26 -0.18 -0.94 -0.94 -0.35 -0.48 0.25 -0.21 -0.06 -0.95 0.51 -0.39 -0.95 -0.82 -0.03 0.71 0.12 0.56 -0.16 -1 -0.33 0.24 0.15 -0.94 -0.98 -0.74 -0.88 -0.96 0.87 -0.99 -0.94 -1 0.52 -1 -0.25 0.79 0.93 -0.46 -0.83 0.95 -0.99 -1 -0.73 -0.99 -1 0.41 -1 -0.96 0 -0.81 -0.8 -0.85 0.94 -0.94 -0.89 -0.74 -0.84 -0.56 -1 -0.98 0.3 -0.71 -0.62 0.29 -0.27 -0.96 0.11 -0.98 -0.67
D35E01J 0.81 0.61 0.68 0.61 0.96 0.87 0.85 0.91 0.95 0.77 -0.95 -1 -1 -1 -1 -0.99 -0.99 -1 -1 -0.99 -1 -0.77 -0.99 -1 -0.99 -0.94 -0.28 -0.99 -0.88 -1 -1 -0.99 -1 -0.99 -1 -1 -0.97 -0.43 -0.97 0.44 -1 -1 -0.87 -0.41 -1 -0.95 0.14 0.49 -0.99 -1 -1 -1 -1 -1 -1 -1 -0.9 -1 -1 -0.81 0 -1 -1 0.85 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -0.93 -1 -0.99 -1 -0.5 -1 -1
D35E02J 0.9 0.71 0.79 0.71 0.99 0.7 0.92 0.97 0.98 0.87 -0.77 -0.71 -0.97 -0.98 -1 -1 -0.98 -0.48 -0.43 -0.41 -1 -0.92 -1 -1 -0.85 -0.91 -0.36 -0.96 -0.59 -0.99 -1 -0.99 -0.6 -0.9 -0.91 -0.91 -1 -0.85 -0.94 -0.67 -1 -0.98 -0.97 -0.1 -1 -0.69 0.05 0.85 -0.92 -0.97 -0.99 -1 -0.99 -1 -1 -0.83 0.14 -0.98 -1 -0.8 -1 0 -1 0.32 -1 -1 -1 -1 -1 -0.98 -1 -0.91 -1 -0.99 -0.75 -1 -0.99 -0.99 -1 -0.98
D35E03J 0.77 0.56 0.63 0.56 0.94 0.83 0.81 0.89 0.93 0.74 -1 -0.09 -0.77 -0.99 -1 -0.98 -0.99 -0.97 -0.7 -0.72 -0.67 -0.88 -0.93 -1 -0.93 -0.9 0.23 -0.99 -0.92 -1 -1 -0.97 -1 -1 -1 -1 -1 -0.54 -0.93 -0.92 -1 -1 -0.89 -0.54 -1 -0.62 0.8 0.98 -0.98 -1 -1 -1 -1 -1 -1 -1 -0.83 -1 -1 -0.85 -1 -1 0 0.49 -1 -1 -1 -1 -1 -1 -1 -0.99 -1 -0.98 -1 -1 -1 -1 -1 -1
D35E04J 0.95 0.81 0.86 0.81 1 0.98 0.97 0.99 0.96 0.93 0.97 0.97 0.94 0.96 0.66 0.26 0.97 0.94 0.49 0.7 -0.09 0.28 0.85 0.87 0.99 0.67 1 0.93 0.78 0.94 0.65 0.63 1 0.87 0.9 1 0.99 1 0.96 0.99 0.28 0.89 0.87 0.98 0.78 0.9 0.97 -0.34 0.87 0.95 0.57 0.99 0.26 0.38 0.45 0.7 0.47 0.99 -0.46 0.94 0.85 0.32 0.49 0 0.89 0.81 0.9 0.78 0.19 1 0.86 0.28 0.82 0.8 0.86 -0.24 0.95 0.45 0.65 0.39
D35E05J 0.69 0.47 0.54 0.47 0.88 0.76 0.72 0.81 0.87 0.63 -0.98 -0.4 -0.99 -1 -1 -0.98 -0.97 -0.98 -0.99 -0.93 -0.89 -0.9 -1 -1 -0.84 -1 -0.4 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.7 -0.94 -0.37 -1 -1 -1 -1 -1 -0.37 0.86 0.93 -0.94 -1 -1 -1 -1 -1 -1 -1 -0.91 -1 -1 -0.94 -1 -1 -1 0.89 0 -1 -1 -1 -1 -1 -1 -0.85 -1 -1 -1 -1 -1 -0.81 -1 -1
D35E06J 0.69 0.47 0.54 0.47 0.88 0.76 0.72 0.81 0.87 0.63 -0.76 -0.4 -0.53 -1 -1 -0.81 -0.89 -0.93 -0.92 -0.98 -0.89 -0.4 -1 -1 -0.95 -0.99 -0.81 -0.98 -1 -1 -1 -0.95 -1 -1 -1 -1 -1 -0.95 -1 0.41 -1 -1 -1 -0.99 -1 -0.37 0.3 -0.27 -0.98 -1 -1 -0.96 -1 -1 -1 -1 -0.08 -1 -1 -0.89 -1 -1 -1 0.81 -1 0 -1 -1 -0.98 -1 -1 -0.32 -1 -0.99 -1 -1 -1 -0.93 -1 -1
D35E07J 0.93 0.78 0.84 0.78 1 0.96 0.94 0.98 0.99 0.91 -0.91 -0.49 -0.95 -0.96 -0.98 -0.39 -0.64 -0.72 -0.76 -1 -0.82 -0.19 -0.99 -0.98 -0.97 -0.88 -0.66 -0.39 -0.52 -0.98 -1 -0.63 -0.86 -0.97 -0.97 -1 -0.96 -0.83 -1 -0.09 -1 -1 -1 -0.94 -1 -0.99 0.62 0.95 -1 -1 0.41 -1 -0.95 -1 -0.98 -1 0.81 -0.89 -1 -0.74 -1 -1 -1 0.9 -1 -1 0 -0.98 -1 -1 -1 -0.32 -1 -0.74 -0.69 -1 -1 -1 -1 -1
D35E08J 0.75 0.54 0.61 0.54 0.92 0.82 0.78 0.86 0.91 0.7 -0.43 -0.38 -0.16 -0.99 -1 -1 -1 -1 -0.54 -0.95 -0.6 -0.9 -1 -1 -0.66 -0.83 -0.42 -0.99 -0.91 -1 -1 -0.98 -1 -1 -1 -1 -0.99 -0.81 -0.94 -0.62 -1 -1 -0.36 -0.16 -1 0.38 0.46 0.84 -0.99 -0.98 -1 -1 -1 -1 -1 -1 -0.73 -1 -1 -0.84 -1 -1 -1 0.78 -1 -1 -0.98 0 -1 -1 -1 0.12 -1 -0.99 -0.93 -1 -0.9 -0.97 -1 -1
D35E09J 0.89 0.71 0.78 0.71 0.99 0.93 0.91 0.77 0.98 0.86 -0.63 -0.59 -1 -0.79 -1 -0.99 -0.21 -0.83 -0.8 -0.92 -0.96 -0.98 -0.87 -0.98 -1 -0.99 -0.6 -0.88 -0.7 -0.88 -1 -0.95 -0.61 -0.94 -0.91 -0.99 -0.97 -0.87 -1 0.49 -0.99 -0.98 -0.98 -0.82 -1 -0.51 0.38 0.81 -1 -1 -0.27 -1 -0.97 -1 -1 -0.58 -0.71 -0.77 -1 -0.56 -1 -1 -1 0.19 -1 -0.98 -1 -1 0 -1 -1 -0.66 -1 -0.99 -0.91 -0.99 -1 -1 -0.99 -1
D35E10J 0.83 0.63 0.69 0.63 0.97 0.89 0.86 0.62 0.95 0.79 -1 -0.95 -0.99 -1 -1 -1 -1 -1 -0.6 -0.88 -0.98 -0.37 -0.67 -1 -1 -0.82 -0.45 -0.56 -0.83 -1 -1 -1 -0.99 -1 -1 -1 -1 -0.99 -1 -0.15 -1 -1 -1 -0.97 -1 -0.99 -0.37 0.5 -0.96 -1 -0.69 -0.82 -0.99 -0.99 -1 -1 0.48 -0.97 -1 -1 -1 -0.98 -1 1 -1 -1 -1 -1 -1 0 -1 -0.68 -1 -1 -0.98 -1 -1 -0.99 -1 -0.99
D42E01J 0.62 0.41 0.47 0.41 0.84 0.7 0.65 0.12 0.82 0.57 -0.99 -0.79 -0.96 -1 -1 -0.82 -0.83 -0.98 -0.88 -0.9 -0.96 -0.27 -0.99 -1 -1 -0.99 -0.66 -0.98 -0.99 -1 -1 -1 -1 -1 -1 -1 -1 -0.94 -1 -0.1 -1 -1 -1 -0.95 -1 -0.96 -0.3 0.97 -0.89 -1 -1 -1 -1 -1 -1 -1 -0.84 -1 -1 -0.98 -1 -1 -1 0.86 -1 -1 -1 -1 -1 -1 0 -0.96 -1 -1 -1 -1 -1 -1 -1 -1
D42E02J 0.96 0.82 0.87 0.82 1 0.86 0.97 0.99 1 0.93 0.68 0.71 -0.1 -0.37 -0.87 -0.5 0.61 -0.86 -0.6 -0.45 -0.89 -0.75 -0.3 -0.13 0.26 -0.66 0.74 -0.64 -0.25 -0.66 -0.95 -0.29 0.8 0.83 -0.34 -0.74 0.02 0.72 -0.5 -0.44 -0.9 -0.32 -0.99 0.88 -0.86 -0.93 1 0.94 -0.81 -0.73 0.09 -0.48 -0.63 -0.8 0.04 0.77 -0.93 -0.73 -0.33 0.3 -0.94 -0.91 -0.99 0.28 -0.85 -0.32 -0.32 0.12 -0.66 -0.68 -0.96 0 -0.98 0.1 -0.27 -0.32 -0.89 -0.92 -0.56 -0.88
D42E03J 0.65 0.44 0.5 0.44 0.86 0.72 0.69 0.78 0.85 0.6 -0.89 0.28 -0.57 -0.98 -1 -1 -1 -0.91 -0.39 -0.92 -0.52 -0.71 -1 -1 -0.84 -1 0.07 -1 -1 -1 -1 -1 -1 -1 -1 -1 -1 -0.21 -0.74 -0.73 -1 -1 -0.9 -0.9 -1 0.52 0.32 0.96 -0.97 -1 -1 -1 -1 -1 -1 -1 -0.85 -1 -1 -0.71 -1 -1 -1 0.82 -1 -1 -1 -1 -1 -1 -1 -0.98 0 -1 -1 -1 -1 -1 -1 -1
D42E04J 0.9 0.72 0.78 0.72 0.99 0.94 0.92 0.96 0.98 0.87 -0.99 0.21 -0.97 -0.99 -0.93 -0.97 -0.83 -0.55 0.12 -0.99 -0.53 -0.31 -0.6 -0.94 -0.51 -0.25 -0.69 -0.97 0.44 -0.83 -1 -0.88 -0.9 -0.99 -0.79 -1 -0.96 -0.46 -1 0.99 -1 -1 -0.92 0.13 -0.96 -0.33 -0.62 0.81 -0.33 -0.99 -0.82 -0.88 -0.97 -1 -0.99 -0.97 0.19 -0.91 -0.43 -0.62 -0.93 -0.99 -0.98 0.8 -1 -0.99 -0.74 -0.99 -0.99 -1 -1 0.1 -1 0 -0.92 -0.99 -1 -0.67 -1 -0.97
D42E05J 0.82 0.61 0.68 0.61 0.96 0.88 0.86 0.6 0.95 0.2 0.01 0.22 0.46 -0.99 -1 -0.47 -0.71 -0.02 -0.52 -0.02 0.59 0.56 -0.97 -0.99 -0.78 -0.99 0.97 -0.96 -0.96 -1 -1 -0.91 -0.7 -1 -1 -0.81 -1 0.56 -0.83 0.91 -1 -1 -0.96 0.74 -0.97 0.98 0.99 -0.02 -0.74 -0.95 -1 -0.88 -0.93 -1 -1 -0.07 0.76 -0.83 -1 0.29 -1 -0.75 -1 0.86 -1 -1 -0.69 -0.93 -0.91 -0.98 -1 -0.27 -1 -0.92 0 -1 -1 -0.33 -0.98 -1
D42E06J 0.69 0.47 0.54 0.47 0.88 0.76 0.72 0.81 0.46 0.63 -0.45 -0.2 -0.53 -1 -0.99 -0.9 -0.27 -0.93 -0.98 -0.53 -0.96 -0.57 -0.99 -1 -0.74 -0.97 -0.7 -1 -0.96 -1 -1 -0.95 -0.98 -1 -1 -1 -0.99 -0.82 -0.97 0.82 -1 -0.99 -0.99 -0.93 -1 0.02 0.3 0.88 -0.82 -1 -1 -0.93 -1 -1 -1 -1 0.34 -0.94 -1 -0.27 -0.99 -1 -1 -0.24 -1 -1 -1 -1 -0.99 -1 -1 -0.32 -1 -0.99 -1 0 -1 -1 -1 -1
D42E07J 0.51 0.32 0.37 0.32 0.74 0.59 0.54 0.65 0.72 0.47 -0.99 -0.85 -0.94 -1 -1 -0.6 -0.98 -0.95 -0.98 -0.95 -0.88 -0.45 -0.97 -1 -0.8 -1 -0.95 -0.95 -1 -1 -1 -0.98 -1 -1 -1 -1 -1 -0.99 -0.98 -0.17 -1 -1 -1 -0.98 -1 -0.75 -0.97 0.49 -0.99 -1 -0.99 -1 -1 -1 -1 -1 -0.68 -0.98 -1 -0.96 -1 -0.99 -1 0.95 -1 -1 -1 -0.9 -1 -1 -1 -0.89 -1 -1 -1 -1 0 -1 -1 -1
D42E08J 0.94 0.78 0.84 0.78 0.99 0.97 0.96 0.87 0.99 0.91 -0.82 0.79 -0.58 -0.8 -0.84 -0.1 -0.26 -0.66 -0.59 -0.86 -0.99 -1 -0.74 -0.7 -0.89 -0.03 0.9 -0.46 0.57 -0.96 -0.96 -0.72 -0.33 -0.76 -0.73 -0.98 -0.96 -0.28 -0.9 -0.2 -0.99 -0.57 -0.99 -0.99 -1 -0.99 -0.39 0.81 -0.31 -1 -0.37 -0.58 -0.14 -0.67 -1 -0.99 0.5 -0.85 -0.99 0.11 -0.5 -0.99 -1 0.45 -0.81 -0.93 -1 -0.97 -1 -0.99 -1 -0.92 -1 -0.67 -0.33 -1 -1 0 -1 -1
D42E09J 0.23 0.58 0.64 0.58 0.72 0.85 0.83 0.89 0.94 0.74 -0.92 -0.97 -0.98 -0.99 -1 -0.55 -0.86 -0.99 -0.99 -0.96 -0.91 -0.87 -0.99 -1 -0.96 -0.96 -0.33 -0.94 -0.65 -1 -1 -0.88 -0.76 -1 -0.99 -0.99 -1 -0.96 -1 -0.25 -1 -1 -1 -0.51 -1 -0.41 -0.12 0.71 -0.46 -1 -0.6 -0.98 -0.99 -1 -1 -0.99 0.24 -1 -1 -0.98 -1 -1 -1 0.65 -1 -1 -1 -1 -0.99 -1 -1 -0.56 -1 -1 -0.98 -1 -1 -1 0 -1
D42E10J 0.85 0.67 0.73 0.67 0.97 0.91 0.88 0.7 0.97 0.29 -0.94 -0.83 -0.77 -0.98 -1 -0.91 -0.98 -0.76 -0.95 -0.97 -0.85 -0.98 -1 -1 -1 -1 -0.01 -0.99 -0.9 -1 -1 -1 -0.96 -0.98 -1 -0.97 -1 -0.82 -1 -0.85 -1 -1 -1 -0.96 -1 0.11 0.6 0.28 -1 -1 -1 -1 -1 -1 -1 -1 0.1 -0.95 -1 -0.67 -1 -0.98 -1 0.39 -1 -1 -1 -1 -1 -0.99 -1 -0.88 -1 -0.97 -1 -1 -1 -1 -1 0
